graph,k,trial,time,memory
NY.gr,2,0,0.5427098274230957,17203200
NY.gr,2,1,0.5428149700164795,17055744
NY.gr,2,2,0.5315911769866943,17055744
NY.gr,2,3,0.5316739082336426,17055744
NY.gr,2,4,0.5429551601409912,17055744
NY.gr,2,5,0.5421268939971924,17055744
NY.gr,2,6,0.5318169593811035,17055744
NY.gr,2,7,0.5311329364776611,17055744
NY.gr,2,8,0.5317938327789307,17055744
NY.gr,2,9,0.5317730903625488,17055744
NY.gr,2,10,0.531735897064209,17055744
NY.gr,2,11,0.5317490100860596,17055744
NY.gr,2,12,0.5425519943237305,17055744
NY.gr,2,13,0.5317580699920654,17104896
NY.gr,2,14,0.5428922176361084,17055744
NY.gr,2,15,0.55336594581604,17154048
NY.gr,2,16,0.5428721904754639,17137664
NY.gr,2,17,0.5308959484100342,17055744
NY.gr,2,18,0.531728982925415,17055744
NY.gr,2,19,0.54280686378479,17104896
NY.gr,2,20,0.5319218635559082,17055744
NY.gr,2,21,0.5427298545837402,17219584
NY.gr,2,22,0.5317060947418213,17055744
NY.gr,2,23,0.5424761772155762,17235968
NY.gr,2,24,0.5318350791931152,17055744
NY.gr,2,25,0.5427951812744141,17104896
NY.gr,2,26,0.5409500598907471,17235968
NY.gr,2,27,0.5410971641540527,17137664
NY.gr,2,28,0.5318019390106201,17104896
NY.gr,2,29,0.531641960144043,17170432
NY.gr,3,0,0.5316510200500488,17104896
NY.gr,3,1,0.5317597389221191,17104896
NY.gr,3,2,0.5431201457977295,17121280
NY.gr,3,3,0.5419740676879883,17104896
NY.gr,3,4,0.5318570137023926,17104896
NY.gr,3,5,0.5321741104125977,17104896
NY.gr,3,6,0.5431768894195557,17252352
NY.gr,3,7,0.5319442749023438,17104896
NY.gr,3,8,0.5411109924316406,17154048
NY.gr,3,9,0.5294351577758789,17104896
NY.gr,3,10,0.5420129299163818,17055744
NY.gr,3,11,0.531857967376709,17055744
NY.gr,3,12,0.5426819324493408,17104896
NY.gr,3,13,0.5318880081176758,17104896
NY.gr,3,14,0.5317943096160889,17055744
NY.gr,3,15,0.5317838191986084,17055744
NY.gr,3,16,0.5429611206054688,17104896
NY.gr,3,17,0.531904935836792,17104896
NY.gr,3,18,0.5314109325408936,17055744
NY.gr,3,19,0.5414390563964844,17104896
NY.gr,3,20,0.5320980548858643,17055744
NY.gr,3,21,0.5297181606292725,17104896
NY.gr,3,22,0.5439391136169434,17203200
NY.gr,3,23,0.5295429229736328,17104896
NY.gr,3,24,0.5419418811798096,17055744
NY.gr,3,25,0.5318813323974609,17121280
NY.gr,3,26,0.531926155090332,17055744
NY.gr,3,27,0.5283241271972656,17055744
NY.gr,3,28,0.5307319164276123,17055744
NY.gr,3,29,0.5296697616577148,17055744
NY.gr,4,0,0.5317709445953369,17104896
NY.gr,4,1,0.5319039821624756,17104896
NY.gr,4,2,0.5291280746459961,17104896
NY.gr,4,3,0.5291907787322998,17104896
NY.gr,4,4,0.5310800075531006,17104896
NY.gr,4,5,0.5298528671264648,17170432
NY.gr,4,6,0.5317881107330322,17104896
NY.gr,4,7,0.5306968688964844,17104896
NY.gr,4,8,0.543828010559082,17055744
NY.gr,4,9,0.5435986518859863,17121280
NY.gr,4,10,0.5429730415344238,17170432
NY.gr,4,11,0.5389461517333984,17055744
NY.gr,4,12,0.5320179462432861,17055744
NY.gr,4,13,0.5430970191955566,17055744
NY.gr,4,14,0.5319821834564209,17055744
NY.gr,4,15,0.531851053237915,17104896
NY.gr,4,16,0.5314512252807617,17055744
NY.gr,4,17,0.5320379734039307,17055744
NY.gr,4,18,0.5436270236968994,17186816
NY.gr,4,19,0.5309009552001953,17121280
NY.gr,4,20,0.531790018081665,17055744
NY.gr,4,21,0.5316848754882812,17055744
NY.gr,4,22,0.5436921119689941,17186816
NY.gr,4,23,0.5411882400512695,17203200
NY.gr,4,24,0.5319621562957764,17055744
NY.gr,4,25,0.531872034072876,17137664
NY.gr,4,26,0.5421280860900879,17055744
NY.gr,4,27,0.5320987701416016,17137664
NY.gr,4,28,0.5420591831207275,17055744
NY.gr,4,29,0.5317847728729248,17055744
NY.gr,6,0,0.5437278747558594,17137664
NY.gr,6,1,0.5437588691711426,17055744
NY.gr,6,2,0.5439059734344482,17170432
NY.gr,6,3,0.5316951274871826,17055744
NY.gr,6,4,0.5315239429473877,17055744
NY.gr,6,5,0.5317599773406982,17055744
NY.gr,6,6,0.5319559574127197,17055744
NY.gr,6,7,0.5318901538848877,17088512
NY.gr,6,8,0.5438499450683594,17219584
NY.gr,6,9,0.5311849117279053,17055744
NY.gr,6,10,0.5421009063720703,17055744
NY.gr,6,11,0.5421638488769531,17121280
NY.gr,6,12,0.5427961349487305,17055744
NY.gr,6,13,0.540010929107666,17203200
NY.gr,6,14,0.5319280624389648,17055744
NY.gr,6,15,0.5317990779876709,17055744
NY.gr,6,16,0.5418617725372314,17154048
NY.gr,6,17,0.5416491031646729,17170432
NY.gr,6,18,0.5422549247741699,17055744
NY.gr,6,19,0.543201208114624,17137664
NY.gr,6,20,0.5420777797698975,17186816
NY.gr,6,21,0.5319209098815918,17055744
NY.gr,6,22,0.542137861251831,17137664
NY.gr,6,23,0.5432393550872803,17055744
NY.gr,6,24,0.5401310920715332,17055744
NY.gr,6,25,0.5419237613677979,17055744
NY.gr,6,26,0.5417509078979492,17055744
NY.gr,6,27,0.531447172164917,17055744
NY.gr,6,28,0.5440599918365479,17137664
NY.gr,6,29,0.5413188934326172,17055744
NY.gr,8,0,0.5441911220550537,17235968
NY.gr,8,1,0.5407791137695312,17055744
NY.gr,8,2,0.5412499904632568,17055744
NY.gr,8,3,0.5418980121612549,17121280
NY.gr,8,4,0.5431201457977295,17104896
NY.gr,8,5,0.5394561290740967,17121280
NY.gr,8,6,0.5436086654663086,17055744
NY.gr,8,7,0.549536943435669,17121280
NY.gr,8,8,0.5519716739654541,17235968
NY.gr,8,9,0.5421409606933594,17104896
NY.gr,8,10,0.5420968532562256,17104896
NY.gr,8,11,0.5437366962432861,17055744
NY.gr,8,12,0.5316390991210938,17104896
NY.gr,8,13,0.5315799713134766,17104896
NY.gr,8,14,0.5316739082336426,17104896
NY.gr,8,15,0.543576717376709,17055744
NY.gr,8,16,0.5436739921569824,17104896
NY.gr,8,17,0.5436511039733887,17104896
NY.gr,8,18,0.5437359809875488,17186816
NY.gr,8,19,0.5436980724334717,17104896
NY.gr,8,20,0.5317490100860596,17186816
NY.gr,8,21,0.5317976474761963,17104896
NY.gr,8,22,0.5403461456298828,17104896
NY.gr,8,23,0.5402612686157227,17137664
NY.gr,8,24,0.5402951240539551,17055744
NY.gr,8,25,0.5419278144836426,17055744
NY.gr,8,26,0.5432121753692627,17055744
NY.gr,8,27,0.5408048629760742,17104896
NY.gr,8,28,0.5424590110778809,17219584
NY.gr,8,29,0.5319480895996094,17055744
USA.gr,2,0,50.35016918182373,1355448320
USA.gr,2,1,50.17356538772583,1355759616
USA.gr,2,2,50.177441120147705,1355563008
USA.gr,2,3,50.19546961784363,1355530240
USA.gr,2,4,50.12706422805786,1355530240
USA.gr,2,5,50.12530589103699,1355464704
USA.gr,2,6,49.978535890579224,1355546624
USA.gr,2,7,50.10181975364685,1355677696
USA.gr,2,8,50.188575983047485,1355546624
USA.gr,2,9,50.0980429649353,1355513856
USA.gr,2,10,49.99974703788757,1355448320
USA.gr,2,11,50.232595920562744,1355497472
USA.gr,2,12,50.2587571144104,1355513856
USA.gr,2,13,50.28228998184204,1355743232
USA.gr,2,14,49.963719844818115,1355530240
USA.gr,2,15,50.07170391082764,1355415552
USA.gr,2,16,50.351123332977295,1355497472
USA.gr,2,17,50.30725812911987,1355415552
USA.gr,2,18,50.088295221328735,1355448320
USA.gr,2,19,50.079845905303955,1355825152
USA.gr,2,20,50.15995907783508,1355448320
USA.gr,2,21,51.267910957336426,1355431936
USA.gr,2,22,50.01651906967163,1355382784
USA.gr,2,23,49.974039793014526,1355448320
USA.gr,2,24,50.09943985939026,1355415552
USA.gr,2,25,50.19238591194153,1355448320
USA.gr,2,26,50.07404184341431,1355481088
USA.gr,2,27,50.26373076438904,1355530240
USA.gr,2,28,50.026612997055054,1355464704
USA.gr,2,29,50.29400706291199,1355431936
USA.gr,3,0,50.220696687698364,1355530240
USA.gr,3,1,49.92296099662781,1355579392
USA.gr,3,2,49.78068804740906,1355563008
USA.gr,3,3,50.165738344192505,1355497472
USA.gr,3,4,49.851197242736816,1355530240
USA.gr,3,5,49.746864795684814,1355399168
USA.gr,3,6,50.408726930618286,1355481088
USA.gr,3,7,49.746787786483765,1355481088
USA.gr,3,8,49.81647086143494,1355448320
USA.gr,3,9,49.96104383468628,1355579392
USA.gr,3,10,49.67208504676819,1355415552
USA.gr,3,11,50.00615882873535,1355415552
USA.gr,3,12,50.00910401344299,1355481088
USA.gr,3,13,50.12595987319946,1355513856
USA.gr,3,14,50.07936096191406,1355481088
USA.gr,3,15,50.06147289276123,1355513856
USA.gr,3,16,50.07943296432495,1355464704
USA.gr,3,17,49.810381174087524,1355563008
USA.gr,3,18,49.9589478969574,1355481088
USA.gr,3,19,49.991251945495605,1355743232
USA.gr,3,20,49.780308961868286,1355415552
USA.gr,3,21,50.02987313270569,1355546624
USA.gr,3,22,49.983139991760254,1355563008
USA.gr,3,23,50.02662014961243,1355431936
USA.gr,3,24,50.12347960472107,1355513856
USA.gr,3,25,49.95300912857056,1355825152
USA.gr,3,26,49.754756927490234,1355563008
USA.gr,3,27,49.92182207107544,1355579392
USA.gr,3,28,49.99512600898743,1355481088
USA.gr,3,29,49.90527415275574,1355513856
USA.gr,4,0,49.852473974227905,1355497472
USA.gr,4,1,49.99569606781006,1355612160
USA.gr,4,2,50.03261113166809,1355350016
USA.gr,4,3,49.86993598937988,1355464704
USA.gr,4,4,49.9604868888855,1355481088
USA.gr,4,5,49.911349058151245,1355415552
USA.gr,4,6,49.94761419296265,1355399168
USA.gr,4,7,50.024625062942505,1355825152
USA.gr,4,8,49.88521480560303,1355497472
USA.gr,4,9,50.222877979278564,1355448320
USA.gr,4,10,50.02385210990906,1355464704
USA.gr,4,11,49.9317421913147,1355415552
USA.gr,4,12,50.02094316482544,1355431936
USA.gr,4,13,49.810258865356445,1355612160
USA.gr,4,14,49.81225609779358,1355464704
USA.gr,4,15,50.07906103134155,1355415552
USA.gr,4,16,50.06283903121948,1355481088
USA.gr,4,17,49.89175987243652,1355563008
USA.gr,4,18,49.880587100982666,1355563008
USA.gr,4,19,49.819916009902954,1355644928
USA.gr,4,20,49.83061408996582,1355497472
USA.gr,4,21,50.048840045928955,1355546624
USA.gr,4,22,49.90231919288635,1355448320
USA.gr,4,23,52.55943489074707,1355464704
USA.gr,4,24,50.72292685508728,1355726848
USA.gr,4,25,50.28013491630554,1355776000
USA.gr,4,26,50.33093190193176,1355595776
USA.gr,4,27,50.296234369277954,1355497472
USA.gr,4,28,50.30735111236572,1355563008
USA.gr,4,29,50.27934169769287,1355513856
USA.gr,6,0,50.721731185913086,1355595776
USA.gr,6,1,50.29885292053223,1355481088
USA.gr,6,2,50.86410093307495,1355595776
USA.gr,6,3,52.3096661567688,1355628544
USA.gr,6,4,50.324989795684814,1355579392
USA.gr,6,5,50.31489706039429,1355497472
USA.gr,6,6,51.05060601234436,1355759616
USA.gr,6,7,50.99141883850098,1355743232
USA.gr,6,8,50.47395896911621,1355743232
USA.gr,6,9,50.08290982246399,1355743232
USA.gr,6,10,50.48062014579773,1355612160
USA.gr,6,11,49.90024280548096,1355546624
USA.gr,6,12,50.02963304519653,1355677696
USA.gr,6,13,49.8719687461853,1355546624
USA.gr,6,14,50.16847014427185,1355497472
USA.gr,6,15,50.18839383125305,1355513856
USA.gr,6,16,50.363576889038086,1355448320
USA.gr,6,17,50.198846101760864,1355546624
USA.gr,6,18,50.33224892616272,1355595776
USA.gr,6,19,50.267354011535645,1355546624
USA.gr,6,20,49.8590190410614,1355497472
USA.gr,6,21,50.05610632896423,1355431936
USA.gr,6,22,50.16837024688721,1355563008
USA.gr,6,23,50.32074809074402,1355513856
USA.gr,6,24,50.27614712715149,1355546624
USA.gr,6,25,50.30267000198364,1355759616
USA.gr,6,26,49.92494583129883,1355431936
USA.gr,6,27,50.05707502365112,1355431936
USA.gr,6,28,49.998265981674194,1355497472
USA.gr,6,29,50.16695809364319,1355431936
USA.gr,8,0,50.23589777946472,1355513856
USA.gr,8,1,50.19289422035217,1355563008
USA.gr,8,2,50.33767080307007,1355464704
USA.gr,8,3,50.43376302719116,1355579392
USA.gr,8,4,50.28621578216553,1355513856
USA.gr,8,5,50.25997710227966,1355448320
USA.gr,8,6,50.420027017593384,1355743232
USA.gr,8,7,51.5828070640564,1355792384
USA.gr,8,8,50.2867488861084,1355448320
USA.gr,8,9,50.143895864486694,1355513856
USA.gr,8,10,50.27521896362305,1355530240
USA.gr,8,11,50.182132959365845,1355448320
USA.gr,8,12,50.22927522659302,1355628544
USA.gr,8,13,50.1816029548645,1355563008
USA.gr,8,14,50.42058491706848,1355481088
USA.gr,8,15,50.531447887420654,1355563008
USA.gr,8,16,50.387415170669556,1355546624
USA.gr,8,17,50.341378927230835,1355481088
USA.gr,8,18,50.25305509567261,1355792384
USA.gr,8,19,50.215782165527344,1355513856
USA.gr,8,20,50.27326703071594,1355530240
USA.gr,8,21,50.034011125564575,1355595776
USA.gr,8,22,50.10613131523132,1355563008
USA.gr,8,23,50.34818387031555,1355563008
USA.gr,8,24,50.30762600898743,1355644928
USA.gr,8,25,50.354021072387695,1355628544
USA.gr,8,26,50.40276026725769,1355563008
USA.gr,8,27,51.04689884185791,1355710464
USA.gr,8,28,50.33920693397522,1355530240
USA.gr,8,29,50.3461549282074,1355333632
